Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.22666666
Longitude: -52.40361111
Altitude: 680.67
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-09-30;10;55,4;938,2;16,4;10,7;3,8;
2019-10-31;14;325,2;936,7;19,3;11;3,7;
2019-11-30;11;115;934,9;21;10;3,7;
2019-12-31;6;45,8;934,8;22,6;10,3;3,2;
2020-01-31;14;220,4;934,5;22,1;9,5;3,2;
2020-02-29;7;78,6;936,5;21,4;8,4;3,1;
2020-03-31;5;17,2;937,6;22,3;7,6;3,1;
2020-04-30;5;37,4;939,4;17,5;8,7;3;
2020-05-31;12;137,4;939,3;14,5;10,3;3,1;
2020-06-30;8;null;null;15,1;10,6;null;
2020-07-31;5;null;null;14,2;8,1;null;
2020-08-31;6;94,6;940,1;15;8,8;3,5;
2020-09-30;11;92;937,8;17,4;9,8;3,7;
2020-10-31;4;43,6;936;19,6;9,6;3,6;
2020-11-30;11;122,6;936,4;20;8,6;3,6;
2020-12-31;12;126;934,5;21,8;14,3;3,2;
2021-01-31;18;207,6;934,8;21,5;9,3;3,3;
2021-02-28;9;71,8;935,3;20,6;6,1;2,8;
2021-03-31;16;170,4;935,9;20,8;9,9;2,6;
2021-04-30;5;10;939,3;18,4;8,7;3,3;
2021-05-31;13;131,8;939,2;13,8;7,5;2,8;
2021-06-30;17;181,6;940,4;12,2;8,7;3,1;
2021-07-31;6;35,8;942,1;11,9;9,7;3,1;
2021-08-31;6;75,8;940,3;15,7;9,2;3,6;
2021-09-30;12;200,6;937,3;17;11,2;3,6;
2021-10-31;14;172;936,7;17,7;7,6;3,4;
2021-11-30;8;44;934,7;20,8;9,6;3,4;
2021-12-31;6;33,8;934,1;22,8;8,6;3,6;
2022-01-31;14;70,8;934,4;24,1;9,1;3,6;
2022-02-28;11;197;935,1;22,7;5,8;2,8;
2022-03-31;19;204,8;936,1;20;8,9;3,2;
2022-04-30;13;243,4;937,5;17,5;10,8;3,2;
